step,epoch,train_loss,val_loss,learning_rate,gpu_memory_gb,elapsed_sec,timestamp
860,2,0.33873,,4.257883558537751e-06,83.2,12971.0,2026-03-19 02:38:11
870,2,0.334092,,4.1497440830799084e-06,83.2,13118.4,2026-03-19 02:40:39
880,2,0.33517,,4.04201267674571e-06,83.2,13265.8,2026-03-19 02:43:06
890,2,0.335935,,3.93474104380407e-06,83.2,13413.2,2026-03-19 02:45:34
900,2,0.334394,,3.827980667861716e-06,83.2,13560.7,2026-03-19 02:48:01
910,2,0.333966,,3.721782787154319e-06,83.2,13708.0,2026-03-19 02:50:29
920,2,0.347481,,3.616198369955373e-06,83.2,13855.4,2026-03-19 02:52:56
930,2,0.334373,,3.5112780901146426e-06,83.2,14002.9,2026-03-19 02:55:23
940,2,0.3342,,3.407072302737921e-06,83.2,14150.2,2026-03-19 02:57:51
950,2,0.334258,,3.3036310200197595e-06,83.2,14297.7,2026-03-19 03:00:18
960,2,0.327101,,3.201003887240768e-06,83.2,14444.9,2026-03-19 03:02:45
970,2,0.33028,,3.0992401589410228e-06,83.2,14592.2,2026-03-19 03:05:13
980,2,0.333804,,2.9983886752809986e-06,83.2,14739.6,2026-03-19 03:07:40
990,2,0.328067,,2.8984978386013767e-06,83.2,14887.0,2026-03-19 03:10:08
1000,2,0.333354,,2.7996155901929726e-06,83.2,15034.4,2026-03-19 03:12:35
1000,2,,0.339209,,83.2,15074.8,2026-03-19 03:13:15
1010,3,0.329485,,2.7017893872879597e-06,83.2,15280.0,2026-03-19 03:16:41
1020,3,0.339929,,2.605066180283378e-06,83.2,15427.4,2026-03-19 03:19:08
1030,3,0.332752,,2.509492390207925e-06,83.2,15574.9,2026-03-19 03:21:35
1040,3,0.331582,,2.4151138864427913e-06,83.2,15722.2,2026-03-19 03:24:03
1050,3,0.32752,,2.3219759647072467e-06,83.2,15869.6,2026-03-19 03:26:30
1060,3,0.330233,,2.2301233253195625e-06,83.2,16017.0,2026-03-19 03:28:58
1070,3,0.321514,,2.1396000517436904e-06,83.2,16164.5,2026-03-19 03:31:25
1080,3,0.318236,,2.050449589431969e-06,83.2,16311.9,2026-03-19 03:33:52
1090,3,0.328712,,1.962714724974067e-06,83.2,16459.3,2026-03-19 03:36:20
1100,3,0.337873,,1.8764375655621137e-06,83.2,16606.9,2026-03-19 03:38:47
1110,3,0.32374,,1.791659518781908e-06,83.2,16754.3,2026-03-19 03:41:15
1120,3,0.324036,,1.7084212727398942e-06,83.2,16901.7,2026-03-19 03:43:42
1130,3,0.313369,,1.6267627765354465e-06,83.2,17049.2,2026-03-19 03:46:10
1140,3,0.334534,,1.5467232210878153e-06,83.2,17196.5,2026-03-19 03:48:37
